broker,size_bytes,target_rate,sent,received,loss_pct,avg_latency_ms,p95_latency_ms,throughput
redis,1280,10000,6842,6842,0.0,3.494293011618232,5.711543560028076,1368.4
redis,1280,50000,7332,7332,0.0,3.1178855726904904,5.307960510253905,1466.4
redis,1280,100000,6810,6810,0.0,3.60260209323026,7.302725315093993,1362.0
redis,10240,10000,5231,5231,0.0,1.1141602839413576,1.7696619033813477,1046.2
redis,10240,50000,5411,5411,0.0,1.1322407994775274,1.9881725311279297,1082.2
redis,10240,100000,5394,5394,0.0,0.9923269450775021,1.5363574028015115,1078.8
redis,102400,10000,2487,2487,0.0,67.18046089037384,127.49371528625488,497.4
redis,102400,50000,2475,2475,0.0,60.774218530365914,119.06414031982418,495.0
redis,102400,100000,2512,2512,0.0,94.8858140570343,170.94290256500244,502.4
redis,1024000,10000,374,374,0.0,63.009826894749935,82.79495239257812,74.8
redis,1024000,50000,383,383,0.0,124.8976605368034,228.19097042083737,76.6
redis,1024000,100000,382,382,0.0,86.0195016361656,150.51066875457764,76.4
rabbitmq,1280,10000,38775,38775,0.0,2284.6676412603306,3158.0846786499023,7755.0
rabbitmq,1280,50000,40603,40603,0.0,2402.0339823871914,3227.8105974197388,8120.6
rabbitmq,1280,100000,40048,40048,0.0,2309.0780453709567,3051.4575004577637,8009.6
rabbitmq,10240,10000,25551,20500,19.768306524206487,2374.7200450897217,3462.990725040436,4100.0
rabbitmq,10240,50000,27013,22565,16.466145929737532,2714.699540443598,3644.9235439300537,4513.0
rabbitmq,10240,100000,26684,26684,0.0,2557.522236032118,3490.2206659317017,5336.8
rabbitmq,102400,10000,3735,3735,0.0,32.19037438970972,53.270316123962395,747.0
rabbitmq,102400,50000,4437,4437,0.0,35.05952701607292,49.33581352233887,887.4
rabbitmq,102400,100000,4101,4101,0.0,33.76125818460461,58.2430362701416,820.2
rabbitmq,1024000,10000,313,313,0.0,45.822603633990305,67.47026443481445,62.6
rabbitmq,1024000,50000,392,392,0.0,34.746427925265564,49.88728761672972,78.4
rabbitmq,1024000,100000,379,379,0.0,34.247999140958356,52.3839235305786,75.8
