"t_sec","queue","db_writes","batches"
"0.5","112","0","0"
"1","185","100","1"
"1.5","319","100","1"
"2","423","100","1"
"2.5","524","100","1"
"3","181","600","6"
"3.5","333","600","6"
"4","447","600","6"
"4.5","540","600","6"
"5","60","1200","12"
"5.5","205","1200","12"
"6","330","1200","12"
"6.5","452","1200","12"
"7","150","1500","15"
"7.5","225","1700","17"
"8","368","1700","17"
"8.5","368","1700","17"
"9","368","1700","17"
"9.5","68","2000","20"
"10","68","2000","20"
"10.5","68","2000","20"
"11","68","2000","20"
"11.5","0","2068","21"
"12","0","2068","21"
